selector,occurrences,file_count,categories,domains,risk_score,files
.report-filter-field,3,3,component-shared | legacy-split | page-domain,"Filters | Reports | Reports, Filters",6,styles/components/filters.css | styles/legacy/02j-legacy-report-toolbar-filters.css | styles/pages/reports.css
.modal-close-btn,3,3,component-shared | legacy-split,General/System | Modals,6,styles/components/forms.css | styles/components/modals.css | styles/legacy/02b-legacy-premium-modal-base.css
.premium-drawer-panel,3,2,component-shared | legacy-split,General/System | Modals,6,styles/components/modals.css | styles/legacy/02c-legacy-detail-drawer-primitives.css
.ux-filter-chip-bar,3,2,component-shared | legacy-split,"General/System | Reports, Filters",6,styles/components/toolbars.css | styles/legacy/02j-legacy-report-toolbar-filters.css
.ux-filter-chip,3,2,component-shared | legacy-split,"General/System | Reports, Filters",6,styles/components/toolbars.css | styles/legacy/02j-legacy-report-toolbar-filters.css
.ux-filter-chip__icon,3,3,component-shared | legacy-split,"Forms/Inputs, Repairs | General/System | Reports, Filters",6,styles/components/toolbars.css | styles/legacy/02j-legacy-report-toolbar-filters.css | styles/legacy/04a-legacy-repairs-saved-views-inputs.css
.ux-nav-compact .icon-bubble,3,3,layout-system | legacy-split | page-domain,Sidebar | Telegram,6,styles/layout/sidebar-chrome.css | styles/legacy/03e-legacy-sidebar-transparent-cleanup.css | styles/pages/telegram.css
.ux-report-tools__row,3,2,legacy-split | page-domain,"Reports | Reports, Filters",6,styles/legacy/02j-legacy-report-toolbar-filters.css | styles/pages/reports.css
.ux-quick-link,3,3,legacy-split,General/System | Sales/Cart | Tables,6,styles/legacy/02l-legacy-wizard-table-quicklinks-installments.css | styles/legacy/05b-legacy-quick-link-cards.css | styles/legacy/06a-legacy-sales-flow-visual-pass.css
.ux-quick-link__icon,3,3,legacy-split,General/System | Sales/Cart | Tables,6,styles/legacy/02l-legacy-wizard-table-quicklinks-installments.css | styles/legacy/05b-legacy-quick-link-cards.css | styles/legacy/06a-legacy-sales-flow-visual-pass.css
.telegram-link-modal__action-grid,3,2,legacy-split,"Telegram, Modals",6,styles/legacy/02o-legacy-telegram-link-modal.css | styles/legacy/10d-legacy-telegram-modal-stability-lux.css
.reports-local-export-note,5,1,runtime-override,Navigation,5,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
".people-filter-chip, .partners-filter-chip",4,4,runtime-override,"Filters | People | People, Header, Repairs, Filters",5,styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
"html.dark .app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""]",4,2,runtime-override,"Sidebar | Sidebar, Dashboard, Settings",5,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.phone-register-submitbar,4,1,runtime-override,Mobile Phones,5,styles/runtime-overrides/05-mobile-phones.css
.settings-data-panel .backup-file-card__actions,4,2,runtime-override,Forms/Inputs | Navigation,5,styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.phone-card-surface,4,1,runtime-override,"Modals, Products",5,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-card-actions,4,1,runtime-override,"Modals, Products",5,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.message-composer-channel.apple-choice-toggle,4,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/08b-message-composer-controls.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.detail-severity-badge,3,2,component-shared | runtime-override,General/System,5,styles/components/badges.css | styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css
.dark,3,2,component-shared | runtime-override,Forms/Inputs | General/System,5,styles/components/unified-fields.css | styles/runtime-overrides/03a-global-commercial-qa.css
.partners-table-shell,3,2,page-domain | runtime-override,"Partners | People, Tables",5,styles/pages/partners.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
".people-action-btn-spacious, .partners-action-btn--spacious",3,2,runtime-override,"Partners | People, Tables",5,styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css
".people-action-btn, .partners-action-btn",3,2,runtime-override,"People | People, Tables",5,styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css
.people-page-shell,3,2,runtime-override,People,5,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
".people-stat-card, .partners-stat-card",3,2,runtime-override,People,5,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.settings-sidebar .settings-tab-icon,3,2,runtime-override,"People, Forms/Inputs | Sidebar, Settings",5,styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ledger-actions-row,3,2,runtime-override,Partners | Tables,5,styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/10b-finance-tables-density-system.css
".app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""]",3,2,runtime-override,"Sidebar | Sidebar, Dashboard, Settings",5,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.app-sidebar,3,3,runtime-override,"General/System | Sidebar | Sidebar, Dashboard, Settings",5,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/10f-sidebar-final-polish.css | styles/runtime-overrides/10g-layout-shell-final-qa.css
.phone-list-apple-head,3,1,runtime-override,Mobile Phones,5,styles/runtime-overrides/05-mobile-phones.css
.phone-register-submitbar > div:last-child,3,1,runtime-override,Mobile Phones,5,styles/runtime-overrides/05-mobile-phones.css
.report-kpi-definition-note__grid,3,1,runtime-override,"Reports, Filters",5,styles/runtime-overrides/06c-reports-consolidation-filters.css
.phone-card-surface > .p-3\.5,3,1,runtime-override,"Modals, Products",5,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-card-actions .ux-btn:not(.w-9),3,1,runtime-override,"Modals, Products",5,styles/runtime-overrides/07b-products-modal-responsive-polish.css
".partners-table-shell th:nth-child(1), .partners-table-shell td:nth-child(1)",3,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(2), .partners-table-shell td:nth-child(2)",3,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(3), .partners-table-shell td:nth-child(3)",3,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(4), .partners-table-shell td:nth-child(4)",3,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
".partners-table-shell th:nth-child(5), .partners-table-shell td:nth-child(5)",3,2,runtime-override,"General/System | People, Tables",5,styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
#telegram-settings-form .telegram-monitor-section-v2,3,1,runtime-override,Telegram,5,styles/runtime-overrides/09b-telegram-control-center-monitoring.css
"#telegram-settings-form .telegram-monitor-v2-action__state, #telegram-settings-form .telegram-monitor-v2-checkcard__cta, #telegram-settings-form .telegram-monitor-v2-checkcard__chip",3,1,runtime-override,Telegram,5,styles/runtime-overrides/09c-telegram-template-center-cards.css
"#telegram-settings-form .tg-apple-setup-card__icon, #telegram-settings-form .telegram-monitor-v2-action__icon",3,1,runtime-override,Telegram,5,styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
"#telegram-settings-form .tg-apple-setup-card__status, #telegram-settings-form .telegram-monitor-v2-action__state",3,1,runtime-override,Telegram,5,styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
"#telegram-settings-form .tg-apple-setup-card__hint, #telegram-settings-form .telegram-monitor-v2-action__value",3,1,runtime-override,Telegram,5,styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .telegram-accordion-panel__header .ux-btn__content,3,1,runtime-override,"Telegram, Modals",5,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__metrics,3,1,runtime-override,"Telegram, Modals",5,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-panel__header .ux-btn__label-main,3,1,runtime-override,"Telegram, Modals",5,styles/runtime-overrides/09e-telegram-accordion-logs-modals.css
.header-premium-shell,3,2,runtime-override,General/System | Header,5,styles/runtime-overrides/10e-header-final-polish.css | styles/runtime-overrides/10g-layout-shell-final-qa.css
.premium-empty-state-card,4,2,component-shared | legacy-split,General/System | Inventory,4,styles/components/empty-states.css | styles/legacy/03d-legacy-premium-tabs-inventory-detail.css
.dark .customers-hero-mini,4,4,legacy-split | page-domain,Customers | General/System,4,styles/legacy/02c-legacy-detail-drawer-primitives.css | styles/legacy/02n-legacy-customers-hero-toolbar.css | styles/pages/customers-shell.css | styles/pages/customers.css
.premium-empty-state-card__icon,3,2,component-shared | legacy-split,General/System | Inventory,4,styles/components/empty-states.css | styles/legacy/03d-legacy-premium-tabs-inventory-detail.css
.premium-empty-state-card__title,3,2,component-shared | legacy-split,General/System | Inventory,4,styles/components/empty-states.css | styles/legacy/03d-legacy-premium-tabs-inventory-detail.css
.premium-empty-state-card__description,3,2,component-shared | legacy-split,General/System | Inventory,4,styles/components/empty-states.css | styles/legacy/03d-legacy-premium-tabs-inventory-detail.css
table:not(.unstyled-table) thead th,3,3,component-shared | legacy-split,General/System | Tables,4,styles/components/tables.css | styles/components/toolbars.css | styles/legacy/02l-legacy-wizard-table-quicklinks-installments.css
.app-toast,3,2,component-shared | legacy-split,Toasts,4,styles/components/toasts.css | styles/legacy/02k-legacy-cards-toasts-feedback-loading.css
.app-inline-alert,3,2,component-shared | legacy-split,Toasts,4,styles/components/toasts.css | styles/legacy/02k-legacy-cards-toasts-feedback-loading.css
.app-inline-alert__row,3,2,component-shared | legacy-split,Toasts,4,styles/components/toasts.css | styles/legacy/02k-legacy-cards-toasts-feedback-loading.css
.app-inline-alert__icon,3,2,component-shared | legacy-split,Toasts,4,styles/components/toasts.css | styles/legacy/02k-legacy-cards-toasts-feedback-loading.css
.people-table-shell,3,3,component-shared | legacy-split,"Buttons | General/System | People, Forms/Inputs",4,styles/components/toolbars.css | styles/legacy/02i-legacy-people-list-controls-fields.css | styles/legacy/03a-legacy-action-primitives-buttons.css
.ux-nav-compact,3,3,layout-system | legacy-split | page-domain,Customers | Sidebar,4,styles/layout/sidebar-chrome.css | styles/legacy/03e-legacy-sidebar-transparent-cleanup.css | styles/pages/customers.css
".ux-nav-compact li > button:hover > div, .ux-nav-compact li > a:hover > div, html.dark .ux-nav-compact li > button:hover > div, html.dark .ux-nav-compact li > a:hover > div",3,3,layout-system | legacy-split,Header | Sidebar,4,styles/layout/sidebar-chrome.css | styles/legacy/03e-legacy-sidebar-transparent-cleanup.css | styles/legacy/03f-legacy-header-search-password-fixes.css
.premium-tab-header,3,3,layout-system | legacy-split | page-domain,Customers | Inventory | Sidebar,4,styles/layout/sidebar-chrome.css | styles/legacy/03d-legacy-premium-tabs-inventory-detail.css | styles/pages/customers.css
.page-shell-actions,3,2,legacy-split,Forms/Inputs | General/System,4,styles/legacy/02f-legacy-page-shell-modern.css | styles/legacy/04d-legacy-field-attention-page-actions.css
.people-primary-btn,3,3,legacy-split | page-domain,"Buttons | Partners | People, Forms/Inputs",4,styles/legacy/02i-legacy-people-list-controls-fields.css | styles/legacy/03a-legacy-action-primitives-buttons.css | styles/pages/partners.css
.customers-hero-panel,3,3,legacy-split | page-domain,Customers,4,styles/legacy/02n-legacy-customers-hero-toolbar.css | styles/pages/customers-shell.css | styles/pages/customers.css
.customers-hero-title,3,3,legacy-split | page-domain,Customers,4,styles/legacy/02n-legacy-customers-hero-toolbar.css | styles/pages/customers-shell.css | styles/pages/customers.css
.people-customers-shell .customers-toolbar__inline-strip,4,1,runtime-override,"Partners, Customers, Header",3,styles/runtime-overrides/08c-customers-partners-headers.css
".partners-table-shell th, .partners-table-shell td",4,1,runtime-override,"People, Tables",3,styles/runtime-overrides/08d-people-table-detail-contracts.css
.partners-kpi-board,3,1,runtime-override,Partners,3,styles/runtime-overrides/01a5-partner-command-detail-refinement.css
.people-zero-state__hero,3,1,runtime-override,People,3,styles/runtime-overrides/04a-people-empty-states.css
.people-zero-state__actions,3,1,runtime-override,People,3,styles/runtime-overrides/04a-people-empty-states.css
".people-detail-apple :where(.customer-detail-actions, .partner-detail-actions)",3,1,runtime-override,People,3,styles/runtime-overrides/04c-people-detail-pages.css
.dashboard-kpi-surface-note,3,1,runtime-override,Navigation,3,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
.settings-data-panel .backup-file-action,3,1,runtime-override,Navigation,3,styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
"#products-print-area .product-list-table th:nth-child(1), #products-print-area .product-list-table td:nth-child(1)",3,1,runtime-override,"Products, Tables",3,styles/runtime-overrides/07e-product-list-table-density.css
".people-table-shell td:last-child .people-action-btn, .partners-table-shell td:last-child .partners-action-btn",3,1,runtime-override,Tables,3,styles/runtime-overrides/08a-unified-table-actions.css
.people-customers-shell .customers-hero-quickstats,3,1,runtime-override,"Partners, Customers, Header",3,styles/runtime-overrides/08c-customers-partners-headers.css
.partners-table-shell .partner-col-balance,3,1,runtime-override,"People, Tables",3,styles/runtime-overrides/08d-people-table-detail-contracts.css
.partners-table-shell .partner-col-actions,3,1,runtime-override,"People, Tables",3,styles/runtime-overrides/08d-people-table-detail-contracts.css
":where(.detail-card, .partner-settlement-desk, .installment-page, .invoices-page, .customer-detail-page, .partner-detail-page) :where(.finance-table-action, .people-table-action, .installment-table-action, .invoice-table-action)",3,1,runtime-override,Tables,3,styles/runtime-overrides/10b-finance-tables-density-system.css
.report-page :where(table),4,1,page-domain,Reports,2,styles/pages/reports.css
.report-page :where(thead th),4,1,page-domain,Reports,2,styles/pages/reports.css
.report-page :where(tbody td),4,1,page-domain,Reports,2,styles/pages/reports.css
#telegram-settings-form .telegram-chatid-picker__btn,4,1,page-domain,Telegram,2,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide__head,4,1,page-domain,Telegram,2,styles/pages/telegram.css
".modal-body-premium, .premium-drawer-panel__body",3,1,component-shared,Modals,2,styles/components/modals.css
".modal-premium-header, .premium-drawer-panel__header",3,1,component-shared,Modals,2,styles/components/modals.css
.report-page :where(tbody tr:hover),3,1,page-domain,Reports,2,styles/pages/reports.css
#telegram-settings-form .telegram-chatid-picker,3,1,page-domain,Telegram,2,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide,3,1,page-domain,Telegram,2,styles/pages/telegram.css
#telegram-settings-form .telegram-chatid-guide__steps,3,1,page-domain,Telegram,2,styles/pages/telegram.css
.report-filter-inline-actions,4,1,component-shared,Filters,0,styles/components/filters.css
.report-header-controls,3,1,component-shared,Filters,0,styles/components/filters.css
.report-filter-inline-actions > *,3,1,component-shared,Filters,0,styles/components/filters.css
.partners-shell,3,1,page-domain,Partners,0,styles/pages/partners.css
.partners-hero,3,1,page-domain,Partners,0,styles/pages/partners.css
.partners-stats-grid,3,1,page-domain,Partners,0,styles/pages/partners.css
